DutNum;RunNum;DutID;Irrad;Rotation;RotationSensor;RotationStage;NegRotation;BiasVolt;SensorTemp;BeamEnergy;B;CalculatedB;Current on Power supply;
1;1205;7;1E+15;1;;;-1;-500;-22.25;4.4;0.5;0.512066468;220.66;
1;1206;6;5E+14;2;;;-2;-500;-22.27;4.4;0.5;0.512066468;220.66;
1;1206;7;1E+15;2;;;-2;-500;-22.27;4.4;0.5;0.512066468;220.66;
1;1207;6;5E+14;3;;;-3;-500;-22.24;4.4;0.5;0.512066468;220.66;
1;1207;7;1E+15;3;;;-3;-500;-22.24;4.4;0.5;0.512066468;220.66;
1;1208;6;5E+14;4;;;-4;-500;-22.26;4.4;0.5;0.512066468;220.66;
1;1208;7;1E+15;4;;;-4;-500;-22.26;4.4;0.5;0.512066468;220.66;
1;1209;6;5E+14;5;;;-5;-500;-22.29;4.4;0.5;0.512066468;220.66;
1;1209;7;1E+15;5;;;-5;-500;-22.29;4.4;0.5;0.512066468;220.66;
1;1210;6;5E+14;6;;;-6;-500;-22.22;4.4;0.5;0.512066468;220.66;
1;1210;7;1E+15;6;;;-6;-500;-22.22;4.4;0.5;0.512066468;220.66;
1;1211;6;5E+14;7;;;-7;-500;-22.23;4.4;0.5;0.512066468;220.66;
1;1211;7;1E+15;7;;;-7;-500;-22.23;4.4;0.5;0.512066468;220.66;
1;1212;6;5E+14;8;;;-8;-500;-22.26;4.4;0.5;0.512066468;220.66;
1;1212;7;1E+15;8;;;-8;-500;-22.26;4.4;0.5;0.512066468;220.66;
1;1213;6;5E+14;10;;;-10;-500;-22.18;4.4;0.5;0.512066468;220.66;
1;1213;7;1E+15;10;;;-10;-500;-22.18;4.4;0.5;0.512066468;220.66;
1;1214;6;5E+14;12;;;-12;-500;-22.22;4.4;0.5;0.512066468;220.66;
1;1214;7;1E+15;12;;;-12;-500;-22.22;4.4;0.5;0.512066468;220.66;
1;1215;6;5E+14;16;;;-16;-500;-22.2;4.4;0.5;0.510376664;219.93;
1;1215;7;1E+15;16;;;-16;-500;-22.2;4.4;0.5;0.510376664;219.93;
1;1216;6;5E+14;20;;;-20;-500;-22.18;4.4;0.5;0.512066468;220.66;
1;1216;7;1E+15;20;;;-20;-500;-22.18;4.4;0.5;0.512066468;220.66;
1;1223;6;5E+14;20;;;-20;-500;-22.15;4.4;0.25;0.257206988;110.56;
1;1223;7;1E+15;20;;;-20;-500;-22.15;4.4;0.25;0.257206988;110.56;
1;1224;6;5E+14;16;;;-16;-500;-22;4.4;0.25;0.257206988;110.56;
1;1224;7;1E+15;16;;;-16;-500;-22;4.4;0.25;0.257206988;110.56;
1;1225;6;5E+14;12;;;-12;-500;-21.93;4.4;0.25;0.257206988;110.56;
1;1225;7;1E+15;12;;;-12;-500;-21.93;4.4;0.25;0.257206988;110.56;
1;1226;6;5E+14;10;;;-10;-500;-21.85;4.4;0.25;0.257206988;110.56;
1;1226;7;1E+15;10;;;-10;-500;-21.85;4.4;0.25;0.257206988;110.56;
1;1227;6;5E+14;8;;;-8;-500;-21.84;4.4;0.25;0.257206988;110.56;
1;1227;7;1E+15;8;;;-8;-500;-21.84;4.4;0.25;0.257206988;110.56;
1;1228;6;5E+14;7;;;-7;-500;-21.95;4.4;0.25;0.257206988;110.56;
1;1228;7;1E+15;7;;;-7;-500;-21.95;4.4;0.25;0.257206988;110.56;
1;1229;6;5E+14;6;;;-6;-500;-21.89;4.4;0.25;0.257206988;110.56;
1;1229;7;1E+15;6;;;-6;-500;-21.89;4.4;0.25;0.257206988;110.56;
1;1230;6;5E+14;5;;;-5;-500;-21.85;4.4;0.25;0.257206988;110.56;
1;1230;7;1E+15;5;;;-5;-500;-21.85;4.4;0.25;0.257206988;110.56;
1;1231;6;5E+14;4;;;-4;-500;-21.82;4.4;0.25;0.257206988;110.56;
1;1231;7;1E+15;4;;;-4;-500;-21.82;4.4;0.25;0.257206988;110.56;
1;1232;6;5E+14;3;;;-3;-500;-21.87;4.4;0.25;0.257206988;110.56;
1;1232;7;1E+15;3;;;-3;-500;-21.87;4.4;0.25;0.257206988;110.56;
1;1233;6;5E+14;2;;;-2;-500;-21.81;4.4;0.25;0.257206988;110.56;
1;1233;7;1E+15;2;;;-2;-500;-21.81;4.4;0.25;0.257206988;110.56;
1;1234;6;5E+14;1;;;-1;-500;-21.71;4.4;0.25;0.257206988;110.56;
1;1234;7;1E+15;1;;;-1;-500;-21.71;4.4;0.25;0.257206988;110.56;
1;1235;6;5E+14;0;;;0;-500;-21.67;4.4;0.25;0.257206988;110.56;
1;1235;7;1E+15;0;;;0;-500;-21.67;4.4;0.25;0.257206988;110.56;
1;1239;6;5E+14;-1;;;1;-500;-21.69;4.4;0.25;0.257206988;110.56;
1;1239;7;1E+15;-1;;;1;-500;-21.69;4.4;0.25;0.257206988;110.56;
1;1240;6;5E+14;-2;;;2;-500;-21.71;4.4;0.25;0.257206988;110.56;
1;1240;7;1E+15;-2;;;2;-500;-21.71;4.4;0.25;0.257206988;110.56;
1;1241;6;5E+14;-3;;;3;-500;-21.67;4.4;0.25;0.257206988;110.56;
1;1241;7;1E+15;-3;;;3;-500;-21.67;4.4;0.25;0.257206988;110.56;
1;1242;6;5E+14;-4;;;4;-500;-21.6;4.4;0.25;0.257206988;110.56;
1;1242;7;1E+15;-4;;;4;-500;-21.6;4.4;0.25;0.257206988;110.56;
1;1243;6;5E+14;-5;;;5;-500;-21.62;4.4;0.25;0.257206988;110.56;
1;1243;7;1E+15;-5;;;5;-500;-21.62;4.4;0.25;0.257206988;110.56;
1;1244;6;5E+14;-6;;;6;-500;-21.6;4.4;0.25;0.257206988;110.56;
1;1244;7;1E+15;-6;;;6;-500;-21.6;4.4;0.25;0.257206988;110.56;
1;1245;6;5E+14;-7;;;7;-500;-21.6;4.4;0.25;0.257206988;110.56;
1;1245;7;1E+15;-7;;;7;-500;-21.6;4.4;0.25;0.257206988;110.56;
1;1246;6;5E+14;-8;;;8;-500;-21.6;4.4;0.25;0.257206988;110.56;
1;1246;7;1E+15;-8;;;8;-500;-21.6;4.4;0.25;0.257206988;110.56;
1;1247;6;5E+14;-10;;;10;-500;-21.64;4.4;0.25;0.257206988;110.56;
1;1247;7;1E+15;-10;;;10;-500;-21.64;4.4;0.25;0.257206988;110.56;
1;1248;6;5E+14;-12;;;12;-500;-21.63;4.4;0.25;0.257206988;110.56;
1;1248;7;1E+15;-12;;;12;-500;-21.63;4.4;0.25;0.257206988;110.56;
1;1249;6;5E+14;-16;;;16;-500;-21.66;4.4;0.25;0.257206988;110.56;
1;1249;7;1E+15;-16;;;16;-500;-21.66;4.4;0.25;0.257206988;110.56;
1;1250;6;5E+14;-20;;;20;-500;-21.64;4.4;0.25;0.257206988;110.56;
1;1250;7;1E+15;-20;;;20;-500;-21.64;4.4;0.25;0.257206988;110.56;
1;1261;6;5E+14;20;;;-20;-500;-21.82;4.4;1;1.022317832;441.09;
1;1261;7;1E+15;20;;;-20;-500;-21.82;4.4;1;1.022317832;441.09;
1;1262;6;5E+14;0;;;0;-500;-21.82;4.4;1;1.022317832;441.09;
1;1262;7;1E+15;0;;;0;-500;-21.82;4.4;1;1.022317832;441.09;
2;2033;6;2E+15;-20;;;20;-500;-20.85;4.4;0;0.0012827;0;
2;2033;7;5E+15;-20;;;20;-500;-20.85;4.4;0;0.0012827;0;
2;2034;6;2E+15;-16;;;16;-500;-20.89;4.4;0;0.0012827;0;
2;2034;7;5E+15;-16;;;16;-500;-20.89;4.4;0;0.0012827;0;
2;2035;6;2E+15;-12;;;12;-500;-20.89;4.4;0;0.0012827;0;
2;2035;7;5E+15;-12;;;12;-500;-20.89;4.4;0;0.0012827;0;
2;2036;6;2E+15;-10;;;10;-500;-20.91;4.4;0;0.0012827;0;
2;2036;7;5E+15;-10;;;10;-500;-20.91;4.4;0;0.0012827;0;
2;2037;6;2E+15;-8;;;8;-500;-20.92;4.4;0;0.0012827;0;
2;2037;7;5E+15;-8;;;8;-500;-20.92;4.4;0;0.0012827;0;
2;2039;6;2E+15;-7;;;7;-500;-20.74;4.4;0;0.0012827;0;
2;2039;7;5E+15;-7;;;7;-500;-20.74;4.4;0;0.0012827;0;
2;2040;6;2E+15;-6;;;6;-500;-20.73;4.4;0;0.0012827;0;
2;2040;7;5E+15;-6;;;6;-500;-20.73;4.4;0;0.0012827;0;
2;2041;6;2E+15;-5;;;5;-500;-20.71;4.4;0;0.0012827;0;
2;2041;7;5E+15;-5;;;5;-500;-20.71;4.4;0;0.0012827;0;
2;2042;6;2E+15;-4;;;4;-500;-20.67;4.4;0;0.0012827;0;
2;2042;7;5E+15;-4;;;4;-500;-20.67;4.4;0;0.0012827;0;
2;2043;6;2E+15;-3;;;3;-500;-20.74;4.4;0;0.0012827;0;
2;2043;7;5E+15;-3;;;3;-500;-20.74;4.4;0;0.0012827;0;
2;2044;6;2E+15;-2;;;2;-500;-20.68;4.4;0;0.0012827;0;
2;2044;7;5E+15;-2;;;2;-500;-20.68;4.4;0;0.0012827;0;
2;2045;6;2E+15;-1;;;1;-500;-20.66;4.4;0;0.0012827;0;
2;2045;7;5E+15;-1;;;1;-500;-20.66;4.4;0;0.0012827;0;
2;2046;6;2E+15;0;;;0;-500;-20.59;4.4;0;0.0012827;0;
2;2046;7;5E+15;0;;;0;-500;-20.59;4.4;0;0.0012827;0;
2;2052;6;2E+15;1;;;-1;-500;-20.45;4.4;0;0.0012827;0;
2;2052;7;5E+15;1;;;-1;-500;-20.45;4.4;0;0.0012827;0;
2;2053;6;2E+15;2;;;-2;-500;-20.4;4.4;0;0.0012827;0;
2;2053;7;5E+15;2;;;-2;-500;-20.4;4.4;0;0.0012827;0;
2;2054;6;2E+15;3;;;-3;-500;-20.37;4.4;0;0.0012827;0;
2;2054;7;5E+15;3;;;-3;-500;-20.37;4.4;0;0.0012827;0;
2;2055;6;2E+15;4;;;-4;-500;-20.44;4.4;0;0.0012827;0;
2;2055;7;5E+15;4;;;-4;-500;-20.44;4.4;0;0.0012827;0;
2;2056;6;2E+15;5;;;-5;-500;-20.33;4.4;0;0.0012827;0;
2;2056;7;5E+15;5;;;-5;-500;-20.33;4.4;0;0.0012827;0;
2;2058;6;2E+15;6;;;-6;-500;-22.42;4.4;0;0.0012827;0;
2;2058;7;5E+15;6;;;-6;-500;-22.42;4.4;0;0.0012827;0;
2;2059;6;2E+15;7;;;-7;-500;-23.48;4.4;0;0.0012827;0;
2;2059;7;5E+15;7;;;-7;-500;-23.48;4.4;0;0.0012827;0;
2;2060;6;2E+15;8;;;-8;-500;-23.64;4.4;0;0.0012827;0;
2;2060;7;5E+15;8;;;-8;-500;-23.64;4.4;0;0.0012827;0;
2;2061;6;2E+15;10;;;-10;-500;-23.63;4.4;0;0.0012827;0;
2;2061;7;5E+15;10;;;-10;-500;-23.63;4.4;0;0.0012827;0;
2;2062;6;2E+15;12;;;-12;-500;-23.63;4.4;0;0.0012827;0;
2;2062;7;5E+15;12;;;-12;-500;-23.63;4.4;0;0.0012827;0;
2;2064;6;2E+15;16;;;-16;-500;-23.71;4.4;0;0.0012827;0;
2;2064;7;5E+15;16;;;-16;-500;-23.71;4.4;0;0.0012827;0;
